"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"dac2012_superblue11.hgr","DAC2012",8,9658,9658,0.00799569979171,21.208
"dac2012_superblue11.hgr","DAC2012",16,17625,17625,0.012900624874,28.824
"dac2012_superblue11.hgr","DAC2012",32,32625,32625,0.00507290196869,36.009
"dac2012_superblue11.hgr","DAC2012",64,52067,52067,0.0075925552644,41.202
"dac2012_superblue11.hgr","DAC2012",128,73263,73263,0.00376242945445,48.235
"dac2012_superblue12.hgr","DAC2012",2,4895,4895,0,20.231
"dac2012_superblue12.hgr","DAC2012",4,11675,11675,0,37.993
"dac2012_superblue12.hgr","DAC2012",8,17563,17563,0.00487949867486,52.633
"dac2012_superblue12.hgr","DAC2012",16,28133,28133,0.00520149604934,70.622
"dac2012_superblue12.hgr","DAC2012",32,43847,43847,0.00260074802467,82.257
"dac2012_superblue12.hgr","DAC2012",64,68499,68499,0.00713330361123,93.074
"dac2012_superblue12.hgr","DAC2012",128,104056,104056,0.00485436893204,103.239
"dac2012_superblue14.hgr","DAC2012",2,4279,4279,0.000475585048874,6.033
"dac2012_superblue14.hgr","DAC2012",4,7965,7965,0.00968288089486,9.557
"dac2012_superblue14.hgr","DAC2012",8,14180,14180,0.00493335531572,15.41
"dac2012_superblue14.hgr","DAC2012",16,20466,20466,0.00492061076447,19.822
"dac2012_superblue14.hgr","DAC2012",32,30724,30724,0.00593516968498,23.301
"dac2012_superblue14.hgr","DAC2012",64,44862,44862,0.00365222684387,28.09
"dac2012_superblue14.hgr","DAC2012",128,63571,63571,0.00547778454047,32.95
"dac2012_superblue16.hgr","DAC2012",2,8111,8111,0,5.993
"dac2012_superblue16.hgr","DAC2012",4,13329,13329,0.00374029842197,10.398
"dac2012_superblue16.hgr","DAC2012",8,18358,18358,0.00584239286083,14.327
"dac2012_superblue16.hgr","DAC2012",16,23652,23652,0.0105620088437,18.402
"dac2012_superblue16.hgr","DAC2012",32,32404,32404,0.0085685483871,22.572
"dac2012_superblue16.hgr","DAC2012",64,40388,40388,0.00980571847507,25.917
"dac2012_superblue16.hgr","DAC2012",128,52239,52239,0.0058651026393,30.829
"dac2012_superblue19.hgr","DAC2012",2,1935,1935,0.0199892053698,6.481
"dac2012_superblue19.hgr","DAC2012",4,5859,5859,0.00981465461143,12.653
"dac2012_superblue19.hgr","DAC2012",8,11075,11075,0.0112538469783,18.605
"dac2012_superblue19.hgr","DAC2012",16,18697,18697,0.00477707006369,23.543
"dac2012_superblue19.hgr","DAC2012",32,24563,24563,0.00569573738364,28.373
"dac2012_superblue19.hgr","DAC2012",64,35482,35482,0.0101665850073,31.923
"dac2012_superblue19.hgr","DAC2012",128,51014,51014,0.00416462518373,37.389
"dac2012_superblue2.hgr","DAC2012",2,3368,3368,0.00326430583517,10.429
"dac2012_superblue2.hgr","DAC2012",4,8566,8566,0.0099374062182,18.546
"dac2012_superblue2.hgr","DAC2012",8,16617,16617,0.00945435541725,27.555
"dac2012_superblue2.hgr","DAC2012",16,30047,30047,0.00494093054192,36.98
"dac2012_superblue2.hgr","DAC2012",32,46949,46949,0.0061761631774,43.924
"dac2012_superblue2.hgr","DAC2012",64,66932,66932,0.00601760942548,51.288
"dac2012_superblue2.hgr","DAC2012",128,91772,91772,0.00544717506967,58.14
"dac2012_superblue3.hgr","DAC2012",2,2610,2610,0.0199772535144,7.314
"dac2012_superblue3.hgr","DAC2012",4,8220,8220,0.00994396172316,20.478
"dac2012_superblue3.hgr","DAC2012",8,16188,16188,0.00827937216214,30.307
"dac2012_superblue3.hgr","DAC2012",16,25350,25350,0.00681517116363,37.398
"dac2012_superblue3.hgr","DAC2012",32,38509,38509,0.00662344000558,44.414
