"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"circuit_3.mtx.hgr","SPM",4,2764,2837,0.0296834,2.1401379
"circuit_3.mtx.hgr","SPM",8,4356,4396.5,0.0296834,2.7577067
"circuit_3.mtx.hgr","SPM",16,5257,5299.6,0.0290237,3.5979051
"circuit_3.mtx.hgr","SPM",32,5896,5920.6,0.0290237,4.6892818
"circuit_3.mtx.hgr","SPM",64,6422,6460.6,0.0263158,6.4066516
"circuit_3.mtx.hgr","SPM",128,7066,7096.8,0.0210526,8.08401714
"ckt11752_dc_1.mtx.hgr","SPM",2,117,135.1,0.018099876,2.9891841
"ckt11752_dc_1.mtx.hgr","SPM",4,676,721.5,0.02741831,3.8274462
"ckt11752_dc_1.mtx.hgr","SPM",8,2595,2687,0.02842425,6.226612
"ckt11752_dc_1.mtx.hgr","SPM",16,5119,5262.4,0.02990022,6.877754
"ckt11752_dc_1.mtx.hgr","SPM",32,9006,9064.3,0.029601,9.924577
"ckt11752_dc_1.mtx.hgr","SPM",64,12853,12974.2,0.029601,14.964765
"ckt11752_dc_1.mtx.hgr","SPM",128,16672,16778.5,0.0282776,22.240174
"cnr-2000.mtx.hgr","SPM",2,23,40.3,0.02194939,107.808152
"cnr-2000.mtx.hgr","SPM",4,230,258.3,0.02939797,98.693287
"cnr-2000.mtx.hgr","SPM",8,1290,1342.1,0.02884138,66.476354
"cnr-2000.mtx.hgr","SPM",16,2237,2380.8,0.02931983,64.46891
"cnr-2000.mtx.hgr","SPM",32,14265,14566.6,0.0299784,93.46344
"cnr-2000.mtx.hgr","SPM",64,35939,36302.7,0.0298801,125.17675
"cnr-2000.mtx.hgr","SPM",128,58494,59406.9,0.0298742,186.57805
"conf5_4-8x8-05.mtx.hgr","SPM",2,0,0,0,0.7031929
"conf5_4-8x8-05.mtx.hgr","SPM",4,12288,12288,0,1.5280946
"conf5_4-8x8-05.mtx.hgr","SPM",8,24576,24576,0,2.6925667
"conf5_4-8x8-05.mtx.hgr","SPM",16,42240,42240,0,4.3802709
"conf5_4-8x8-05.mtx.hgr","SPM",32,62640,62761.2,0.0273438,8.0878918
"conf5_4-8x8-05.mtx.hgr","SPM",64,85353,85728.9,0.02617191,14.30480313
"conf5_4-8x8-05.mtx.hgr","SPM",128,107778,108248.4,0.0234375,18.87897441
"copter1.mtx.hgr","SPM",2,939,954.4,0.0059691045,0.9821517
"copter1.mtx.hgr","SPM",4,2091,2129,0.017324665,2.2438511
"copter1.mtx.hgr","SPM",8,3981,4098.1,0.02875058,4.1555201
"copter1.mtx.hgr","SPM",16,6362,6473.6,0.02915508,6.7719941
"copter1.mtx.hgr","SPM",32,9189,9248.5,0.0296846,9.9935719
"copter1.mtx.hgr","SPM",64,13246,13372,0.0296296,14.0563697
"copter1.mtx.hgr","SPM",128,19316,19380.3,0.0296296,18.77220933
"coupled.mtx.hgr","SPM",2,1792,1809,0.02918356,2.8894881
"coupled.mtx.hgr","SPM",4,3015,3150.3,0.02905502,1.9865462
"coupled.mtx.hgr","SPM",8,4133,4179.7,0.02827926,3.1023165
"coupled.mtx.hgr","SPM",16,5436,5482.6,0.0293371,4.405516
"coupled.mtx.hgr","SPM",32,7025,7103.8,0.028169,6.7114534
"coupled.mtx.hgr","SPM",64,9308,9386.8,0.0280899,9.8396829
"coupled.mtx.hgr","SPM",128,12382,12483.2,0.0224719,12.82589427
